,HorseNameCHI,date,raceid,location_id,distance,DG,Act_RS,wlast,first,firsttwo,firstthree
127,快利,2018-10-03,69,1,1.2,Outer,Pace,2.0,0,0,0
128,快利,2018-09-12,30,1,1.2,Inner,MiddleFront,1.0,0,0,0
129,快利,2018-09-02,5,0,1.2,MiddleOuter,Pace,2.0,0,0,0
130,快利,2018-07-15,800,0,1.2,MiddleOuter,MiddleFront,3.0,0,0,1
131,快利,2018-05-06,626,0,1.2,MiddleOuter,Pace,3.0,1,1,1
132,快利,2018-04-21,588,0,1.2,Inner,Late,2.0,0,0,0
133,快利,2018-04-02,541,0,1.2,Outer,Late,3.0,0,0,0
134,快利,2018-03-25,529,0,1.4,Inner,Pace,1.0,0,0,0
159,八心之友,2018-12-19,269,0,1.2,MiddleOuter,MiddleFront,2.0,0,0,0
160,八心之友,2018-12-02,221,0,1.2,MiddleOuter,MiddleFront,1.0,0,0,1
161,八心之友,2018-10-31,141,0,1.2,MiddleOuter,MiddleFront,2.0,0,0,0
162,八心之友,2018-05-30,689,0,1.2,Inner,MiddleFront,1.0,0,0,0
